Id,Label,name,friendsCount,followersCount
1475360000000000000,CAPuttarakhand,"CAP (Centre for Aromatic Plants), Uttarakhand",376,151
925410000000000000,bjpkuldeepkumar,Kuldeep Kumar,4739,12379
1606460000000000000,Nrj9870,Neeraj Joshi,28,18
1569390000000000000,christinaroes31,Christina,3008,329
1560510000000000000,PrateemBhatt,Prateem Bhatt,65,107
1552580000000000000,REAPUttarkashi,REAP Uttarkashi,483,462
1605980000000000000,SRVsauravjoshi,Saurav Joshi,55,33
1569780000000000000,jacquel63313148,Jacqueline,3026,349
1604080000000000000,TajbarFarswan,Tajbar singh Farswan,32,4
1600160000000000000,KiranGwal1,Kiran Gwal,33,28
767963000000000000,Harrychiral,Harish Singh Chiral,97,70
1561650000000000000,Vikrams33338902,vikram singh,43,26
1601760000000000000,PawanKapri15,Pawan Kapri,247,14
1600110000000000000,N__Bhandari,neeraj bhandari,57,42
1066580000000000000,Taslim_Reza1,Taslim Reza 🌿,6975,7359
2923792434,Balamnegiuk01,Balam Singh Negi 🇮🇳,1681,2619
968788000000000000,ICRC_SAfrica,ICRC Southern Africa,2371,5377
1579470000000000000,ChaliyaTeam,A 1 Uttarakhand,3,3
990126000000000000,Geremew05197808,Geremew Arega Tulu,5004,1818
4850017483,geoshubham,Pie Believer,4917,375
1280150000000000000,ZambiaRedCross,Zambia Red Cross Society,574,1036
1588560000000000000,HrishirajShah,Hrishi Shah,2,1
1575890000000000000,Yash0455981,Yash Arya,8,0
887284000000000000,NeerajK07198844,Neeraj Kohli,119,13
1448710000000000000,Barthwal9,BarthWal akhilesh,1696,321
1657761703,MarieAnnUK,Marie-Ann Detests Tories 🇺🇦 🇪🇺 🇬🇧,122876,139404
1496100000000000000,SKY_x_lord,S K Y 211,17,1
1321780428,VedantDigari,vedant.heic,313,62
1427200000000000000,sunilra22736624,Sunil Singh Rawat🖋️🇮🇳🚩🎯,4899,323
1568460000000000000,RoyAjai,Ajai Roy,356,16
261249836,vijayummidi,Vijay Kumar Ummidi,531,686
1211140261,josh_brown01,Josh Brown,219,107
1573680000000000000,NandanChoubey07,Mountaineer Nandan Choubey,27,11
1506950000000000000,Rohan_bhandarii,Rohan,25,1
1012640000000000000,KritiVe90905011,Kriti Verma,53,2
1103960000000000000,DineshPathak07,पाठक # उत्तराखण्ड,3689,1888
1560590000000000000,MamtaMahara15,mamta mahara,166,175
